date,region,product,units_sold,price,revenue
2025-01-01,West,Laptop,15,8000,120000
2025-01-01,West,Laptop,7,25000,175000
2025-01-01,East,Tablet,11,8000,88000
2025-01-01,West,Laptop,4,2000,8000
2025-01-02,East,Mobile,2,2000,4000
2025-01-02,West,Mobile,6,25000,150000
2025-01-02,West,Headphones,1,2000,2000
2025-01-02,South,Mobile,12,15000,180000
2025-01-02,North,Tablet,10,2000,20000
2025-01-03,West,Headphones,15,25000,375000
2025-01-03,South,Tablet,19,2000,38000
2025-01-03,East,Headphones,3,15000,45000
2025-01-03,East,Tablet,9,8000,72000
2025-01-03,South,Headphones,14,25000,350000
2025-01-04,North,Mobile,2,2000,4000
2025-01-04,West,Tablet,7,2000,14000
2025-01-04,North,Headphones,15,8000,120000
2025-01-05,North,Headphones,18,2000,36000
2025-01-05,West,Mobile,6,25000,150000
2025-01-05,South,Headphones,18,25000,450000
2025-01-06,South,Mobile,4,25000,100000
2025-01-06,East,Headphones,15,2000,30000
2025-01-06,South,Tablet,8,15000,120000
2025-01-06,West,Laptop,18,8000,144000
2025-01-06,North,Headphones,13,15000,195000
2025-01-07,East,Laptop,1,15000,15000
2025-01-07,East,Laptop,1,2000,2000
2025-01-08,West,Tablet,11,8000,88000
2025-01-08,North,Headphones,3,8000,24000
2025-01-08,North,Tablet,5,25000,125000
2025-01-08,East,Mobile,9,2000,18000
2025-01-08,East,Laptop,8,2000,16000
2025-01-09,North,Headphones,5,8000,40000
2025-01-09,West,Headphones,3,15000,45000
2025-01-09,East,Laptop,15,25000,375000
2025-01-10,North,Laptop,14,8000,112000
2025-01-10,East,Laptop,15,8000,120000
2025-01-10,South,Mobile,13,8000,104000
2025-01-10,East,Headphones,7,15000,105000
2025-01-11,North,Headphones,4,25000,100000
2025-01-11,North,Tablet,7,15000,105000
2025-01-11,East,Tablet,4,15000,60000
2025-01-11,West,Tablet,19,25000,475000
2025-01-11,West,Mobile,10,15000,150000
2025-01-12,North,Laptop,6,2000,12000
2025-01-12,West,Headphones,12,2000,24000
2025-01-12,South,Mobile,11,2000,22000
2025-01-13,East,Headphones,7,25000,175000
2025-01-13,North,Laptop,13,15000,195000
2025-01-13,East,Tablet,6,2000,12000
2025-01-14,North,Mobile,5,15000,75000
2025-01-14,East,Mobile,12,2000,24000
2025-01-14,East,Tablet,9,2000,18000
2025-01-14,North,Mobile,17,25000,425000
2025-01-15,West,Mobile,7,25000,175000
2025-01-15,East,Laptop,5,15000,75000
2025-01-15,West,Laptop,17,25000,425000
2025-01-15,South,Headphones,5,2000,10000
2025-01-15,North,Laptop,19,25000,475000
2025-01-16,North,Headphones,6,2000,12000
2025-01-16,East,Headphones,11,2000,22000
2025-01-16,East,Laptop,6,2000,12000
2025-01-17,West,Mobile,6,25000,150000
2025-01-17,East,Tablet,16,2000,32000
2025-01-18,North,Headphones,6,2000,12000
2025-01-18,North,Tablet,4,8000,32000
2025-01-19,East,Tablet,19,2000,38000
2025-01-19,West,Tablet,9,15000,135000
2025-01-19,West,Headphones,7,25000,175000
2025-01-20,North,Tablet,18,8000,144000
2025-01-20,East,Mobile,10,8000,80000
2025-01-20,East,Headphones,16,25000,400000
2025-01-20,West,Laptop,17,25000,425000
2025-01-20,North,Headphones,12,15000,180000
2025-01-21,West,Tablet,9,15000,135000
2025-01-21,East,Tablet,16,2000,32000
2025-01-22,West,Headphones,1,2000,2000
2025-01-22,West,Tablet,17,2000,34000
2025-01-22,West,Mobile,8,2000,16000
2025-01-22,South,Tablet,16,25000,400000
2025-01-23,East,Laptop,18,2000,36000
2025-01-23,South,Mobile,2,25000,50000
2025-01-24,West,Laptop,9,2000,18000
2025-01-24,North,Headphones,1,25000,25000
2025-01-24,North,Headphones,8,8000,64000
2025-01-24,East,Laptop,1,2000,2000
2025-01-25,East,Tablet,14,25000,350000
2025-01-25,South,Mobile,13,8000,104000
2025-01-25,South,Headphones,2,15000,30000
2025-01-25,South,Laptop,15,2000,30000
2025-01-25,North,Laptop,16,8000,128000
2025-01-26,East,Headphones,17,2000,34000
2025-01-26,North,Headphones,14,15000,210000
2025-01-26,South,Tablet,9,15000,135000
2025-01-26,West,Laptop,17,25000,425000
2025-01-26,North,Tablet,3,2000,6000
2025-01-27,West,Tablet,1,2000,2000
2025-01-27,East,Headphones,18,15000,270000
2025-01-28,East,Mobile,3,2000,6000
2025-01-28,South,Headphones,18,2000,36000
2025-01-28,East,Mobile,2,8000,16000
2025-01-29,South,Mobile,17,2000,34000
2025-01-29,North,Laptop,11,25000,275000
2025-01-29,West,Tablet,10,8000,80000
2025-01-29,South,Tablet,18,15000,270000
2025-01-30,North,Headphones,7,15000,105000
2025-01-30,West,Laptop,1,2000,2000
2025-01-30,West,Mobile,16,25000,400000
2025-01-30,West,Tablet,15,2000,30000
2025-01-30,South,Mobile,19,15000,285000
2025-01-31,East,Mobile,17,2000,34000
2025-01-31,South,Mobile,15,25000,375000
2025-01-31,East,Headphones,5,15000,75000
2025-02-01,North,Headphones,12,2000,24000
2025-02-01,North,Tablet,4,25000,100000
2025-02-01,North,Headphones,15,8000,120000
2025-02-01,East,Headphones,16,15000,240000
2025-02-01,South,Headphones,10,25000,250000
